loss,kl,elbo,alpha
9209.541,2.9898026,9209.541,0.0
8531.259,18.707678,8531.264,0.0002543720190779014
8462.526,47.332596,8462.551,0.0005087440381558028
7994.1646,69.999695,7994.218,0.0007631160572337042
9150.624,127.262825,9150.754,0.0010174880763116057
8328.499,197.61426,8328.75,0.0012718600953895071
7189.5977,401.8221,7190.211,0.0015262321144674084
8927.973,767.26465,8929.339,0.0017806041335453099
8850.974,1357.955,8853.737,0.0020349761526232114
7630.182,2196.3335,7635.2104,0.002289348171701113
8672.591,3040.0493,8680.324,0.0025437201907790143
8508.137,3539.1094,8518.039,0.0027980922098569156
9242.643,2659.352,9250.76,0.003052464228934817
8389.92,1541.98,8395.019,0.0033068362480127185
8183.3267,930.4064,8186.64,0.0035612082670906198
6946.4766,495.7532,6948.368,0.003815580286168521
8407.177,346.4796,8408.587,0.004069952305246423
7873.61,274.73685,7874.798,0.0043243243243243235
8043.5854,218.38109,8044.5854,0.004578696343402226
8843.84,187.68149,8844.747,0.004833068362480127
8262.271,197.97563,8263.278,0.005087440381558029
7334.721,226.07446,7335.9287,0.00534181240063593
6804.7427,208.68964,6805.9106,0.005596184419713831
8122.155,245.90668,8123.5933,0.005850556438791733
8100.619,275.2587,8102.3,0.006104928457869634
7229.7295,345.81537,7231.9287,0.006359300476947535
8583.872,404.04465,8586.544,0.006613672496025437
8535.074,452.56766,8538.183,0.006868044515103338
7994.919,642.2187,7999.493,0.0071224165341812395
7723.981,587.5916,7728.3154,0.007376788553259141
7834.0127,541.8217,7838.1475,0.007631160572337042
7936.589,373.13306,7939.5312,0.007885532591414944
8408.436,258.23294,8410.501,0.008
8396.785,155.90817,8398.032,0.008
7117.0215,114.853676,7117.9404,0.008
7586.89,98.47184,7587.6777,0.008
7770.669,88.928986,7771.3804,0.008
7555.177,81.417694,7555.828,0.008
8194.78,79.32306,8195.415,0.008
7667.175,80.570145,7667.8193,0.008
6907.864,70.61381,6908.4287,0.008
5341.0254,62.87761,5341.5283,0.008
7606.877,55.302773,7607.3193,0.008
8105.312,52.577286,8105.7324,0.008
6457.6865,48.2289,6458.0723,0.008
6140.7603,51.422424,6141.172,0.008
7547.733,43.69583,7548.0825,0.008
8008.487,45.67592,8008.852,0.008
6860.464,39.417324,6860.7793,0.008
7219.084,45.757404,7219.45,0.008
7283.792,36.997555,7284.088,0.008
6754.029,41.96379,6754.3647,0.008
7278.807,39.699696,7279.1245,0.008
5882.0894,39.053925,5882.402,0.008
7231.0396,35.41127,7231.3228,0.008
7424.2324,46.718426,7424.606,0.008
6043.296,47.24664,6043.674,0.008
7021.7407,38.89266,7022.052,0.008
7869.8145,43.523598,7870.1626,0.008
7084.7007,46.018013,7085.069,0.008
7336.2188,48.56038,7336.6074,0.008
7322.5176,55.30049,7322.96,0.008
7281.168,61.28531,7281.658,0.008
6993.701,64.75511,6994.219,0.008
7751.704,55.967384,7752.152,0.008
7775.182,47.22523,7775.56,0.008
6766.0454,49.91368,6766.445,0.008
7724.4697,41.23591,7724.8,0.008
6705.1963,49.96804,6705.596,0.008
6215.947,46.622192,6216.32,0.008
7706.7437,41.29422,7707.074,0.008
7666.914,50.229218,7667.316,0.008
6940.6577,57.395966,6941.1167,0.008
7158.9116,59.437496,7159.387,0.008
7670.5913,63.632748,7671.1006,0.008
7098.653,66.09198,7099.1816,0.008
6414.743,64.70214,6415.2607,0.008
7144.814,70.26384,7145.376,0.008
5980.214,83.44517,5980.214,0.0
7079.8354,82.34862,7079.8564,0.0002543720190779014
7086.0713,92.35084,7086.118,0.0005087440381558028
6924.3853,88.75305,6924.453,0.0007631160572337042
6391.7876,89.90556,6391.879,0.0010174880763116057
6803.1157,94.273026,6803.236,0.0012718600953895071
7109.3257,93.9101,7109.469,0.0015262321144674084
7604.8647,97.317604,7605.038,0.0017806041335453099
5681.263,91.034515,5681.448,0.0020349761526232114
6855.439,95.48702,6855.6577,0.002289348171701113
6268.049,80.40968,6268.2534,0.0025437201907790143
6280.4307,90.26822,6280.683,0.0027980922098569156
6573.102,90.45097,6573.378,0.003052464228934817
7487.3926,82.81482,7487.6665,0.0033068362480127185
7495.5938,71.74874,7495.849,0.0035612082670906198
6390.2573,74.821625,6390.543,0.003815580286168521
6994.6597,83.26597,6994.9985,0.004069952305246423
6321.986,58.61991,6322.2393,0.0043243243243243235
6747.417,62.882484,6747.705,0.004578696343402226
7475.1064,74.64603,7475.4673,0.004833068362480127
6800.5283,62.092377,6800.844,0.005087440381558029
6996.304,47.64621,6996.5586,0.00534181240063593
7417.5654,55.284607,7417.875,0.005596184419713831
7428.2524,71.288086,7428.6694,0.005850556438791733
7432.7085,51.69493,7433.024,0.006104928457869634
6934.1294,65.4501,6934.5454,0.006359300476947535
7371.0986,67.93197,7371.548,0.006613672496025437
6711.6436,42.775906,6711.9375,0.006868044515103338
5807.3896,56.646076,5807.793,0.0071224165341812395
5981.4785,60.25738,5981.923,0.007376788553259141
6355.3486,51.80293,6355.744,0.007631160572337042
6946.453,50.499565,6946.8516,0.007885532591414944
7375.6543,61.53314,7376.1465,0.008
6444.0386,42.810722,6444.381,0.008
6453.889,57.14595,6454.346,0.008
6291.4595,44.48705,6291.8154,0.008
7351.777,46.068943,7352.1455,0.008
7375.6694,50.834553,7376.076,0.008
6418.325,57.309925,6418.7837,0.008
5600.618,64.6505,5601.1353,0.008
5939.3955,56.115726,5939.844,0.008
6076.586,61.300816,6077.076,0.008
6913.896,54.49692,6914.332,0.008
6624.1924,56.902874,6624.6475,0.008
6719.817,49.935993,6720.2163,0.008
6292.2554,58.536545,6292.7236,0.008
6298.079,47.30002,6298.4575,0.008
6848.078,64.29969,6848.5923,0.008
6833.134,65.46529,6833.6577,0.008
6862.977,54.181034,6863.4106,0.008
6848.49,73.86057,6849.081,0.008
4875.676,70.9256,4876.243,0.008
6868.5073,76.20796,6869.117,0.008
6670.0273,53.48442,6670.455,0.008
6702.96,56.943897,6703.4155,0.008
6894.8813,46.391552,6895.2524,0.008
7279.162,63.322514,7279.6685,0.008
6119.9956,51.324863,6120.4062,0.008
6355.46,54.472076,6355.8955,0.008
6813.6865,53.40962,6814.114,0.008
7262.955,70.39531,7263.518,0.008
7312.1694,60.337635,7312.6523,0.008
6212.8,49.35445,6213.195,0.008
5824.7095,71.143974,5825.279,0.008
6806.3228,53.379646,6806.75,0.008
6506.0156,57.879208,6506.4785,0.008
7238.0513,67.48652,7238.5913,0.008
7293.964,48.826324,7294.3545,0.008
6415.4,49.037426,6415.792,0.008
5973.7183,51.046894,5974.1265,0.008
7234.631,46.03797,7234.999,0.008
6838.691,60.933487,6839.178,0.008
5454.4736,48.316036,5454.8604,0.008
6782.592,55.543865,6783.036,0.008
7261.868,66.36827,7262.399,0.008
6798.455,55.84693,6798.902,0.008
6602.59,69.99742,6603.15,0.008
6086.175,71.36559,6086.7456,0.008
6033.5303,71.145706,6033.5303,0.0
5407.0293,71.804756,5407.0474,0.0002543720190779014
6771.0933,66.100204,6771.127,0.0005087440381558028
7247.2876,62.546646,7247.3354,0.0007631160572337042
7205.1094,69.246574,7205.1797,0.0010174880763116057
6252.883,69.46605,6252.971,0.0012718600953895071
7196.5337,74.41228,7196.6475,0.0015262321144674084
6726.8975,61.11739,6727.0063,0.0017806041335453099
7158.3877,69.65186,7158.5293,0.0020349761526232114
6357.779,76.31513,6357.9536,0.002289348171701113
5959.515,65.283775,5959.681,0.0025437201907790143
7166.445,100.53476,7166.726,0.0027980922098569156
5653.9004,93.57798,5654.186,0.003052464228934817
6768.9907,94.26706,6769.3022,0.0033068362480127185
6306.1216,94.75752,6306.459,0.0035612082670906198
5002.1523,98.04329,5002.5264,0.003815580286168521
6523.1177,87.430984,6523.4736,0.004069952305246423
7210.3076,91.78115,7210.7046,0.0043243243243243235
7155.1655,95.31755,7155.602,0.004578696343402226
6267.758,104.69433,6268.2637,0.004833068362480127
7237.0967,101.85656,7237.6147,0.005087440381558029
6271.044,127.625275,6271.7256,0.00534181240063593
5166.536,115.67439,5167.1836,0.005596184419713831
6770.093,114.40299,6770.762,0.005850556438791733
7143.9575,89.785965,7144.506,0.006104928457869634
