loss,kl,elbo,alpha
1349.902,3.304858,1349.9285,0.008
1841.7141,8.771598,1841.7843,0.008
1106.6278,12.499899,1106.7278,0.008
1710.2056,21.343933,1710.3763,0.008
893.2335,32.86611,893.49646,0.008
1054.3533,48.86348,1054.7441,0.008
1120.8982,56.523476,1121.3503,0.008
1382.5714,87.28409,1383.2697,0.008
728.2834,159.725,729.56116,0.008
1316.7994,284.39697,1319.0746,0.008
2171.3215,421.8918,2174.6968,0.008
1323.2417,475.49426,1327.0457,0.008
807.4126,1167.5029,816.7526,0.008
636.64465,1519.6199,648.80164,0.008
1617.8492,740.324,1623.7719,0.008
1277.7874,564.7387,1282.3053,0.008
631.41174,622.40894,636.391,0.008
80.73763,510.81876,84.82418,0.008
1260.5663,137.02986,1261.6625,0.008
1371.503,96.32219,1372.2737,0.008
2085.072,83.61659,2085.741,0.008
1045.578,72.78056,1046.1603,0.008
1964.5599,83.97685,1965.2318,0.008
272.70074,95.31295,273.46326,0.008
299.59033,89.77488,300.30853,0.008
981.36835,94.417496,982.12366,0.008
434.29343,75.38051,434.89648,0.008
1225.1917,51.176346,1225.6011,0.008
1460.3147,73.39629,1460.9019,0.008
1936.5674,73.85068,1937.1582,0.008
1835.1271,68.04678,1835.6715,0.008
1529.3777,87.06535,1530.0742,0.008
739.09814,105.88955,739.94525,0.008
1094.2302,157.4235,1095.4896,0.008
1397.5924,126.99313,1398.6084,0.008
1609.1318,98.54581,1609.9202,0.008
1472.8058,116.0912,1473.7345,0.008
1723.7365,125.01915,1724.7366,0.008
2137.0356,66.74707,2137.5696,0.008
1344.0007,112.93774,1344.9042,0.008
825.5816,95.2873,826.3439,0.008
1416.0464,96.14697,1416.8156,0.008
1005.026,92.87007,1005.769,0.008
1328.1399,104.53249,1328.9762,0.008
1743.2512,77.80092,1743.8737,0.008
117.9048,122.937256,118.8883,0.008
1674.0913,92.491745,1674.8313,0.008
1923.8354,95.26951,1924.5977,0.008
1041.33,92.25506,1042.068,0.008
1190.0352,101.330696,1190.8458,0.008
1013.3012,98.09598,1014.086,0.008
648.4794,94.525185,649.2356,0.008
914.95325,101.38933,915.76434,0.008
