#                                                                                                             running time (s)                 
#                                                                                                      -------------------------------          
# idx  seq name                                     length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  -------------------------------------------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    1  AMWB01035575.1/108-175                           68        1       69     no     53.15   0.986       0.00       0.01       0.01      0.37
    2  UnmappedStool_Broad_C253000097/192-120           73        1       69     no     47.33   0.955       0.00       0.01       0.01      0.45
    3  RUMENNODE_4196916_1/1307-1232                    76        1       69     no     48.04   0.919       0.00       0.01       0.01      0.47
    4  BMHBC_2_5701378/29-103                           75        1       69     no     60.90   0.942       0.00       0.01       0.01      0.36
    5  SRS052227_LANL_scaffold_29813/18626-18557        70        1       69     no     40.19   0.995       0.00       0.01       0.01      0.54
    6  SRS016225_WUGC_scaffold_32285/3129-3060          70        1       69     no     48.39   0.998       0.00       0.00       0.01      0.36
    7  SRS014470_C3756870/880-949                       70        1       69     no     48.39   0.998       0.00       0.00       0.00      0.36
    8  SRS015055_C1635897/141-210                       70        1       69     no     48.39   0.998       0.00       0.00       0.00      0.36
    9  NCBI_READ_1113288683231/634-554                  81        1       69     no     60.81   0.920       0.00       0.01       0.01      0.53
   10  4463936.3.188434/375-308                         68        1       69     no     46.20   0.984       0.00       0.00       0.00      0.32
   11  SwBSRL2_contig_7420746/252-339                   88        1       69     no     50.92   0.891       0.00       0.01       0.01      0.56
   12  topACOD_F95O9CU01CK4O2/249-326                   78        1       69     no     48.55   0.901       0.00       0.01       0.01      0.49
   13  HCF12C_58327/229-301                             73        1       69     no     68.97   0.953       0.00       0.00       0.00      0.30
   14  JGI20156J14371_10005593/2629-2568                62        1       69     no     54.85   0.958       0.00       0.00       0.00      0.31
   15  RUMENNODE_1945026_35000/5825-5757                69        1       69     no     64.12   0.968       0.00       0.00       0.00      0.38
   16  AF_2010_repII_A1_10015305/1614-1691              78        1       69     no     61.24   0.936       0.00       0.01       0.01      0.48
   17  NZ_AGGO01000583.1/22-99                          78        1       69     no     58.74   0.946       0.00       0.00       0.00      0.33
   18  SRS019397_C1469115/422-500                       79        1       69     no     54.50   0.934       0.00       0.00       0.01      0.45
   19  UnmappedStool_Broad_C253453338/196-119           78        1       69     no     56.26   0.940       0.00       0.00       0.00      0.41
   20  NCBI_READ_1113316008022/801-867                  67        1       69     no     44.31   0.958       0.00       0.00       0.00      0.32
   21  P_1C_Sed_2_UnCty_1273687/57-126                  70        1       69     no     45.85   0.974       0.00       0.00       0.00      0.36
   22  TB_GS09_5_10008256/3802-3735                     68        1       69     no     63.24   0.995       0.00       0.00       0.00      0.29
   23  UnmappedStool_Broad_C251465396/1-68              68        1       69     no     62.77   0.991       0.00       0.00       0.00      0.30
   24  SRS019787_WUGC_scaffold_21996/843-910            68        1       69     no     63.56   0.986       0.00       0.00       0.00      0.29
   25  SRS053335_C2380589/199-266                       68        1       69     no     63.56   0.986       0.00       0.00       0.00      0.29
   26  KVRM_2_1_1_newblercontig71490/27-91              65        1       69     no     43.22   0.975       0.00       0.00       0.00      0.35
   27  SL_1KL_011_SED_10182254/449-520                  72        1       69     no     63.99   0.961       0.00       0.00       0.00      0.29
   28  SL_1KL_011_SED_10862280/185-114                  72        1       69     no     60.76   0.961       0.00       0.00       0.00      0.29
   29  4443755.3.49209/37-110                           74        1       69     no     58.26   0.949       0.00       0.00       0.00      0.34
   30  RUMENNODE_373253_1/67373-67302                   72        1       69     no     60.64   0.978       0.00       0.00       0.00      0.28
   31  NZ_AFHW01000093.1/13318-13253                    66        1       69     no     44.51   0.964       0.00       0.00       0.00      0.33
   32  AECF_F56XM5W02HPNPB/247-178                      70        1       69     no     38.29   0.927       0.00       0.00       0.00      0.34
   33  scaffold19354_1_O2.UC-20/326-260                 67        1       69     no     59.64   0.957       0.00       0.00       0.00      0.28
   34  SRS013687_C2502060/275-341                       67        1       69     no     59.64   0.957       0.00       0.00       0.00      0.28
   35  SRS023914_C1910779/263-197                       67        1       69     no     59.64   0.957       0.00       0.00       0.00      0.28
   36  UnmappedStool_Broad_C253374458/85-151            67        1       69     no     59.64   0.957       0.00       0.00       0.00      0.28
   37  P_1C_Sed_3_UnCty_1050414/354-284                 71        1       69     no     59.41   0.954       0.00       0.00       0.00      0.39
   38  scaffold9121_11_O2.UC-18/1197-1129               69        1       69     no     68.92   0.998       0.00       0.00       0.00      0.34
   39  4491686.3.5780/595-674                           80        1       69     no     44.62   0.840       0.00       0.00       0.00      0.42
   40  4491686.3.1041960/706-785                        80        1       69     no     44.62   0.840       0.00       0.00       0.00      0.42
   41  FWIROz_GKA24FP02GK5E2/225-139                    87        1       69     no     44.95   0.877       0.00       0.00       0.00      0.56
   42  GX8B9KJ01CRUJY/328-258                           71        1       69     no     54.79   0.887       0.00       0.00       0.00      0.35
   43  SRS015578_C2538900/222-147                       76        1       69     no     63.81   0.948       0.00       0.00       0.00      0.30
   44  SRS047014_WUGC_scaffold_50560/3642-3717          76        1       69     no     65.59   0.948       0.00       0.00       0.00      0.30
   45  JCVI_SCAF_1096628350214/1287-1344                58        1       69     no     45.71   0.986       0.00       0.00       0.00      0.34
   46  LV_Brine_h2_0102_1024767/1024-1088               65        1       69     no     60.01   0.995       0.00       0.00       0.00      0.30
   47  JGI1221J11331_1023885/1028-1092                  65        1       69     no     60.01   0.995       0.00       0.00       0.00      0.30
   48  JGI1221J11331_1042826/472-536                    65        1       69     no     57.62   0.995       0.00       0.00       0.00      0.35
   49  LV_Brine_h2_0102_1082486/273-209                 65        1       69     no     57.62   0.995       0.00       0.00       0.00      0.35
   50  LV_Brine_h2_0102_1180717/7-71                    65        1       69     no     57.62   0.995       0.00       0.00       0.00      0.35
   51  LV_Brine_h2_0102_1084320/410-474                 65        1       69     no     59.38   0.995       0.00       0.00       0.00      0.32
   52  LV_Brine_h2_0102_1148242/51-115                  65        1       69     no     57.75   0.995       0.00       0.00       0.00      0.32
   53  LV_Brine_h2_0102_1114214/346-282                 65        1       69     no     57.41   0.994       0.00       0.00       0.00      0.33
   54  JGI1221J11331_1115107/202-138                    65        1       69     no     57.41   0.994       0.00       0.00       0.00      0.33
   55  LV_Brine_h2_0102_1063128/455-391                 65        1       69     no     59.03   0.995       0.00       0.00       0.00      0.33
   56  JGI1221J11331_1085485/123-59                     65        1       69     no     59.03   0.995       0.00       0.00       0.00      0.33
   57  JGI12698J15209_1003155/604-532                   73        1       69     no     58.42   0.967       0.00       0.00       0.00      0.34
   58  JGI1221J11331_1036073/715-644                    72        1       69     no     65.69   0.965       0.00       0.00       0.00      0.31
   59  LV_Brine_h2_0102_1028259/328-399                 72        1       69     no     67.24   0.965       0.00       0.00       0.00      0.30
   60  LV_Brine_h2_0102_1042839/577-648                 72        1       69     no     67.24   0.965       0.00       0.00       0.00      0.30
   61  JGI1221J11331_1078596/130-59                     72        1       69     no     67.24   0.965       0.00       0.00       0.00      0.30
   62  LV_Brine_h2_0102_1077468/431-360                 72        1       69     no     62.90   0.976       0.00       0.00       0.00      0.30
   63  JGI1221J11331_1060072/294-365                    72        1       69     no     62.90   0.976       0.00       0.00       0.00      0.30
   64  JGI1221J11331_1079190/514-443                    72        1       69     no     65.52   0.977       0.00       0.00       0.00      0.31
   65  LV_Brine_h2_0102_1094503/258-329                 72        1       69     no     63.79   0.977       0.00       0.00       0.00      0.31
