#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
     1  seq0          71        1       69     no     74.36   0.973       0.00       0.00       0.00      0.23
     2  seq1          71        1       69     no     80.01   0.977       0.00       0.00       0.00      0.21
     3  seq2          71        1       69     no     66.84   0.974       0.00       0.00       0.00      0.32
     4  seq3          71        1       69     no     73.71   0.979       0.00       0.00       0.00      0.21
     5  seq4          71        1       69     no     70.55   0.962       0.00       0.00       0.00      0.29
     6  seq5          71        1       69     no     76.13   0.978       0.00       0.00       0.00      0.21
     7  seq6          71        1       69     no     70.52   0.961       0.00       0.00       0.00      0.27
     8  seq7          71        1       69     no     72.91   0.980       0.00       0.00       0.00      0.24
     9  seq8          71        1       69     no     65.90   0.975       0.00       0.00       0.00      0.30
    10  seq9          71        1       69     no     76.77   0.987       0.00       0.00       0.00      0.26
    11  seq10         71        1       69     no     75.15   0.972       0.00       0.00       0.00      0.22
    12  seq11         71        1       69     no     76.52   0.982       0.00       0.00       0.00      0.25
    13  seq12         71        1       69     no     77.60   0.975       0.00       0.00       0.00      0.22
    14  seq13         71        1       69     no     78.70   0.970       0.00       0.00       0.00      0.25
    15  seq14         71        1       69     no     71.16   0.978       0.00       0.00       0.00      0.23
    16  seq15         71        1       69     no     79.84   0.986       0.00       0.00       0.00      0.22
    17  seq16         71        1       69     no     71.60   0.980       0.00       0.00       0.00      0.23
    18  seq17         71        1       69     no     70.92   0.977       0.00       0.00       0.00      0.22
    19  seq18         71        1       69     no     67.27   0.971       0.00       0.00       0.00      0.31
    20  seq19         72        1       69     no     77.98   0.980       0.00       0.00       0.00      0.26
    21  seq20         71        1       69     no     61.81   0.976       0.00       0.00       0.00      0.22
    22  seq21         71        1       69     no     72.68   0.978       0.00       0.00       0.00      0.24
    23  seq22         71        1       69     no     68.84   0.973       0.00       0.00       0.00      0.26
    24  seq23         71        1       69     no     72.68   0.975       0.00       0.00       0.00      0.23
    25  seq24         71        1       69     no     69.58   0.967       0.00       0.00       0.00      0.23
    26  seq25         71        1       69     no     77.27   0.973       0.00       0.00       0.00      0.29
