#                                                                                                running time (s)                 
#                                                                                         -------------------------------          
# idx  seq name                        length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  ------------------------------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    1  FR903934.1/5471-5622               152        1      171     no     73.68   0.919       0.00       0.04       0.04      2.09
    2  FR902178.1/2072-1922               151        1      171     no     83.14   0.937       0.01       0.02       0.03      2.08
    3  GG668534.1/280157-280311           155        1      171     no     69.26   0.894       0.00       0.03       0.03      3.24
    4  FR883402.1/112823-112697           127       20      171     no     69.02   0.939       0.00       0.01       0.01      1.11
    5  BAUT01000048.1/6089-6247           159        1      171     no    128.33   0.967       0.00       0.01       0.01      1.13
    6  LRVM01000018.1/9408-9566           159        1      171     no     82.11   0.902       0.00       0.02       0.02      1.93
    7  FR891245.1/6154-6307               154        1      171     no     66.98   0.909       0.00       0.03       0.03      3.15
    8  LGGA01000028.1/5750-5573           178        1      171     no    117.97   0.898       0.00       0.01       0.01      1.59
    9  HF993644.1/51944-52093             150        1      171     no     86.23   0.882       0.00       0.02       0.02      2.17
   10  CP013217.1/74832-75002             171        1      171     no    130.44   0.924       0.00       0.01       0.01      1.25
   11  GG665866.1/619900-620088           189        1      171     no     66.08   0.862       0.00       0.02       0.02      2.76
   12  CP000721.1/282070-282393           324        1      171     no     92.94   0.771       0.01       0.02       0.03      3.33
   13  FR897768.1/5754-5608               147        1      171     no     63.60   0.883       0.00       0.02       0.02      2.75
   14  AP012046.1/1492479-1492627         149        1      171     no     90.40   0.964       0.00       0.02       0.02      2.06
   15  CP000612.1/307640-307794           155        1      171     no    101.74   0.920       0.00       0.01       0.01      1.57
   16  CP002293.1/171520-171689           170        1      171     no    144.60   0.939       0.00       0.01       0.01      1.15
   17  CP002360.1/708978-709125           148        1      171     no     99.03   0.958       0.00       0.01       0.01      1.48
   18  LJAJ01000012.1/66124-65953         172        1      171     no    135.92   0.940       0.00       0.01       0.01      1.21
   19  HF990741.1/69967-69766             202        1      171     no     61.86   0.829       0.00       0.03       0.04      4.03
   20  CP001983.1/167550-167722           173        1      171     no    130.42   0.928       0.00       0.01       0.01      1.20
